Student_ID,Choice_1,Choice_2,Choice_3,Choice_4
Student_1,Project_2,Project_5,Project_1,Project_3
Student_2,Project_3,Project_2,Project_4,Project_5
Student_3,Project_1,Project_5,Project_2,Project_4
Student_4,Project_4,Project_3,Project_1,Project_2
Student_5,Project_5,Project_1,Project_3,Project_4
Student_6,Project_2,Project_4,Project_3,Project_1
Student_7,Project_3,Project_5,Project_2,Project_1
Student_8,Project_1,Project_3,Project_4,Project_5
Student_9,Project_4,Project_1,Project_2,Project_3
Student_10,Project_5,Project_2,Project_3,Project_4
Student_11,Project_2,Project_3,Project_1,Project_4
Student_12,Project_1,Project_4,Project_5,Project_2
Student_13,Project_3,Project_1,Project_4,Project_2
Student_14,Project_4,Project_2,Project_5,Project_1
Student_15,Project_5,Project_4,Project_2,Project_3
Student_16,Project_2,Project_3,Project_1,Project_5
Student_17,Project_3,Project_5,Project_1,Project_2
Student_18,Project_1,Project_2,Project_4,Project_3
Student_19,Project_4,Project_3,Project_5,Project_1
Student_20,Project_5,Project_2,Project_3,Project_4
Student_21,Project_2,Project_1,Project_5,Project_4
Student_22,Project_3,Project_2,Project_4,Project_1
Student_23,Project_1,Project_5,Project_3,Project_4
Student_24,Project_4,Project_1,Project_2,Project_5
Student_25,Project_5,Project_4,Project_3,Project_2
Student_26,Project_2,Project_3,Project_5,Project_4
Student_27,Project_3,Project_1,Project_2,Project_5
Student_28,Project_1,Project_4,Project_3,Project_2
Student_29,Project_4,Project_5,Project_1,Project_3
Student_30,Project_5,Project_2,Project_3,Project_4
Student_31,Project_2,Project_4,Project_1,Project_5
Student_32,Project_3,Project_5,Project_2,Project_1
Student_33,Project_1,Project_2,Project_4,Project_5
Student_34,Project_4,Project_1,Project_3,Project_2
Student_35,Project_5,Project_3,Project_4,Project_1
Student_36,Project_2,Project_1,Project_3,Project_5
Student_37,Project_3,Project_4,Project_2,Project_5
Student_38,Project_1,Project_5,Project_2,Project_4
Student_39,Project_4,Project_3,Project_1,Project_5
Student_40,Project_5,Project_2,Project_4,Project_3
Student_41,Project_2,Project_5,Project_3,Project_1
Student_42,Project_3,Project_1,Project_4,Project_2
Student_43,Project_1,Project_4,Project_5,Project_3
Student_44,Project_4,Project_2,Project_3,Project_5
Student_45,Project_5,Project_3,Project_1,Project_4
Student_46,Project_2,Project_3,Project_4,Project_5
Student_47,Project_3,Project_1,Project_5,Project_4
Student_48,Project_1,Project_2,Project_3,Project_4
Student_49,Project_4,Project_5,Project_2,Project_3
Student_50,Project_5,Project_1,Project_4,Project_2